Zona Portuaria,SOCIEDAD PORTUARIA,TIPO DE SERVICIO,TIPO DE CARGA,EXPORTACION,IMPORTACIÓN,TRANSBORDO,TRANSITO INTERNACIONAL,FLUVIAL,CABOTAJE,MOVILIZACIONES A BORDO,TRANSITORIA,AÑO VIGENCIA,MES VIGENCIA,Departamento,Latitud,Longitud
BARRANQUILLA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,PUBLICO,GENERAL,0,15083,0,0,0,0,0,0,2018,5,ATLÁNTICO,10.981520510121,-74.82771543881358
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,0,146012,0,0,0,1037,0,0,2018,6,ATLÁNTICO,10.981520510121,-74.82771543881358
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,PUBLICO,CARBON AL GRANEL,18359,0,0,0,0,0,0,0,2018,2,ATLÁNTICO,10.981520510121,-74.82771543881358
BARRANQUILLA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,PUBLICO,GRANEL LIQUIDO,0,3296,0,0,0,0,0,0,2018,12,ATLÁNTICO,10.981520510121,-74.82771543881358
BARRANQUILLA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,PUBLICO,CARBON AL GRANEL,56506,0,0,0,0,0,0,0,2018,4,ATLÁNTICO,10.981520510121,-74.82771543881358
BARRANQUILLA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,0,26042,0,0,0,0,0,0,2018,5,ATLÁNTICO,10.981520510121,-74.82771543881358
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,0,105790,0,0,0,0,0,0,2018,4,ATLÁNTICO,10.981520510121,-74.82771543881358
BARRANQUILLA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,PUBLICO,CARBON AL GRANEL,15983,0,0,0,0,0,0,0,2018,11,ATLÁNTICO,10.981520510121,-74.82771543881358
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,PUBLICO,GENERAL,113,32968,0,0,0,429,0,0,2018,11,ATLÁNTICO,10.981520510121,-74.82771543881358
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,0,150998,0,0,0,0,0,0,2018,7,ATLÁNTICO,10.981520510121,-74.82771543881358
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,PUBLICO,GRANEL LIQUIDO,0,1447,0,0,0,0,0,0,2018,9,ATLÁNTICO,10.981520510121,-74.82771543881358
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,PUBLICO,GENERAL,537,20400,0,70,0,1415,0,0,2018,6,ATLÁNTICO,10.981520510121,-74.82771543881358
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,PUBLICO,CARBON AL GRANEL,76736,0,0,0,0,0,0,0,2018,6,ATLÁNTICO,10.981520510121,-74.82771543881358
BARRANQUILLA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,PUBLICO,GENERAL,0,60692,0,0,0,0,0,0,2018,4,ATLÁNTICO,10.981520510121,-74.82771543881358
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,PUBLICO,GENERAL,190,10960,0,0,0,2653,0,0,2018,12,ATLÁNTICO,10.981520510121,-74.82771543881358
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,PUBLICO,GRANEL LIQUIDO,0,1978,0,0,0,0,0,0,2018,12,ATLÁNTICO,10.981520510121,-74.82771543881358
BARRANQUILLA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,0,11566,0,0,0,0,0,0,2018,7,ATLÁNTICO,10.981520510121,-74.82771543881358
BARRANQUILLA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,PUBLICO,CARBON AL GRANEL,25997,0,0,0,0,0,0,0,2018,9,ATLÁNTICO,10.981520510121,-74.82771543881358
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,PUBLICO,GRANEL LIQUIDO,0,1888,0,0,0,0,0,0,2018,8,ATLÁNTICO,10.981520510121,-74.82771543881358
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,PUBLICO,CONTENEDORES,38835,71616,0,0,0,0,0,0,2018,5,ATLÁNTICO,10.981520510121,-74.82771543881358
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,PUBLICO,CARBON AL GRANEL,83007,0,0,0,0,0,0,0,2018,5,ATLÁNTICO,10.981520510121,-74.82771543881358
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,PUBLICO,GRANEL LIQUIDO,0,1985,0,0,0,0,0,0,2018,7,ATLÁNTICO,10.981520510121,-74.82771543881358
BARRANQUILLA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,PUBLICO,GENERAL,0,13313,0,0,0,0,0,0,2018,12,ATLÁNTICO,10.981520510121,-74.82771543881358
