Zona Portuaria,SOCIEDAD PORTUARIA,TIPO DE SERVICIO,TIPO DE CARGA,EXPORTACION,IMPORTACIÓN,TRANSBORDO,TRANSITO INTERNACIONAL,FLUVIAL,CABOTAJE,MOVILIZACIONES A BORDO,TRANSITORIA,AÑO VIGENCIA,MES VIGENCIA,Departamento,Latitud,Longitud
BARRANQUILLA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,PUBLICO,CARBON AL GRANEL,0,71867,0,0,0,0,0,0,2019,6,ATLÁNTICO,10.981520510121,-74.82771543881358
BARRANQUILLA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,PUBLICO,GENERAL,0,15083,0,0,0,0,0,0,2018,5,ATLÁNTICO,10.981520510121,-74.82771543881358
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,0,146012,0,0,0,1037,0,0,2018,6,ATLÁNTICO,10.981520510121,-74.82771543881358
BARRANQUILLA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,PUBLICO,GENERAL,0,42309,0,0,0,0,0,0,2019,5,ATLÁNTICO,10.981520510121,-74.82771543881358
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,PUBLICO,CARBON AL GRANEL,18359,0,0,0,0,0,0,0,2018,2,ATLÁNTICO,10.981520510121,-74.82771543881358
BARRANQUILLA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,PUBLICO,GRANEL LIQUIDO,0,3296,0,0,0,0,0,0,2018,12,ATLÁNTICO,10.981520510121,-74.82771543881358
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,PUBLICO,GENERAL,21,28127,0,0,0,0,0,0,2019,11,ATLÁNTICO,10.981520510121,-74.82771543881358
BARRANQUILLA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,PUBLICO,CARBON AL GRANEL,56506,0,0,0,0,0,0,0,2018,4,ATLÁNTICO,10.981520510121,-74.82771543881358
BARRANQUILLA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,0,26042,0,0,0,0,0,0,2018,5,ATLÁNTICO,10.981520510121,-74.82771543881358
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,0,105790,0,0,0,0,0,0,2018,4,ATLÁNTICO,10.981520510121,-74.82771543881358
